group,units,matches,shots,goals,goal_rate,frame,empty_tri,dist,header
men_club,5.0,1632.0,38613.0,3751.0,0.09714344909745423,12.701939761220315,0.5058141040582187,19.191352351463838,0.17139305415274647
men_intl,6.0,314.0,7184.0,654.0,0.09103563474387528,13.797327394209354,0.4849665924276169,18.478501546383754,0.19070155902004454
women_club,8.0,1096.0,27452.0,2964.0,0.10797027538977123,13.271492058866386,0.45421098644907476,18.052184044472604,0.16767448637622032
women_intl,4.0,178.0,4521.0,428.0,0.09466932094669321,13.616898916168989,0.43220526432205264,17.67213723504667,0.20349480203494802
all,23.0,3220.0,77770.0,7797.0,0.10025716857400026,13.057361450430758,0.4813938536710814,18.635071779411106,0.17373023016587372
