unit,group,model,how,n,goals,logloss,brier,MCB,DSC,UNC,ICI,auc,cal_int,cal_slope,obs_exp
African Cup of Nations 2023,men_intl,GLM_LOC,none,864,75,0.25670627099562937,0.07203806265891985,0.003179987037706042,0.010412275459033088,0.0792703510802469,0.01873029435367102,0.7658132657372201,-0.1413158033504827,0.9164027767344834,0.8940343459601537
African Cup of Nations 2023,men_intl,GLM_LOC,recal,864,75,0.25674235439258575,0.07201931006822662,0.0031612344470128145,0.010412275459033088,0.0792703510802469,0.018445047264619412,0.7658132657372201,-0.00849714776615555,0.848946061552677,0.993375224417499
African Cup of Nations 2023,men_intl,GLM_GEO,none,864,75,0.241410262437301,0.0681770977394805,0.0035343353080274503,0.014627588648793849,0.0792703510802469,0.02034956966157511,0.8066751161808196,-0.1477502159708238,0.9387217668514481,0.8946788444597102
African Cup of Nations 2023,men_intl,GLM_GEO,recal,864,75,0.24110294212923972,0.0678911631313562,0.003248400699903148,0.014627588648793849,0.0792703510802469,0.019419931008564914,0.8066751161808196,0.07896457747919464,0.9078911359276625,1.061446311341328
African Cup of Nations 2023,men_intl,GBM_LOC,none,864,75,0.2582123701063827,0.07254025473634322,0.003281477041309544,0.010011573385213218,0.0792703510802469,0.021708277951603187,0.7650866075200675,-0.13495988436544024,0.8948502518700756,0.898165556909297
African Cup of Nations 2023,men_intl,GBM_LOC,recal,864,75,0.2582933818696713,0.07238998311879292,0.003131205423759248,0.010011573385213218,0.0792703510802469,0.021144662530048517,0.7650866075200675,0.011311843752274836,0.8388245387665323,1.0089729509124674
African Cup of Nations 2023,men_intl,GBM_GEO,none,864,75,0.24217691391959967,0.0685068904125825,0.003193667156167354,0.013957127823831753,0.0792703510802469,0.02347460999005703,0.8072834811998311,-0.1300944825612124,0.9205721724016621,0.9071393468146471
African Cup of Nations 2023,men_intl,GBM_GEO,recal,864,75,0.2425140713043685,0.06820037002050842,0.002887146764093282,0.013957127823831753,0.0792703510802469,0.02263015300368703,0.8072834811998311,0.12826792790833508,0.8848696686294727,1.1010505479413288
Copa America 2024,men_intl,GLM_LOC,none,475,45,0.26971845891635765,0.07501380045336517,0.003937549219219211,0.014685521619039646,0.0857617728531856,0.029837977768219944,0.7678552971576228,0.06736231642633844,1.1307175513968104,1.0575791614322472
Copa America 2024,men_intl,GLM_LOC,recal,475,45,0.28869137530470423,0.08143292335227786,0.010356672118131904,0.014685521619039646,0.0857617728531856,0.050626017049266704,0.7678552971576228,0.30131364909229313,2.6456375478265315,1.3132033955363498
Copa America 2024,men_intl,GLM_GEO,none,475,45,0.24184395381622267,0.06876308674909999,0.004365783330124745,0.02136446943421036,0.0857617728531856,0.026888592312424,0.8296640826873385,0.05194810086300615,1.237914812215542,1.0417249252758813
Copa America 2024,men_intl,GLM_GEO,recal,475,45,0.2632377313589379,0.07639243652865291,0.011995133109677661,0.02136446943421036,0.0857617728531856,0.05144600657626431,0.8296640826873385,0.3531904232849034,2.165382132913437,1.3658151797552145
Copa America 2024,men_intl,GBM_LOC,none,475,45,0.2586888632639651,0.0732100091831761,0.0044976379569902775,0.017049401626999777,0.0857617728531856,0.030400903250804006,0.8035142118863049,0.013184694925891503,1.2648539715256923,1.0108888451301712
Copa America 2024,men_intl,GBM_LOC,recal,475,45,0.28747600870823564,0.0814841950362392,0.012771823810053373,0.017049401626999777,0.0857617728531856,0.06072205273337337,0.8035142118863049,0.29724780767818354,3.4937078373932398,1.3095487296770156
Copa America 2024,men_intl,GBM_GEO,none,475,45,0.2346353748660215,0.06680633543130708,0.0058422553517399264,0.02479769277361845,0.0857617728531856,0.03580000910500044,0.8455813953488373,-0.009637741421086667,1.2825229676023429,0.9925750988909353
Copa America 2024,men_intl,GBM_GEO,recal,475,45,0.2575486111914274,0.075036440424949,0.014072360345381847,0.02479769277361845,0.0857617728531856,0.05521901154208056,0.8455813953488373,0.3155860042121171,2.2312903564794655,1.3194601140579008
FA Women's Super League 2018/2019,women_club,GLM_LOC,none,2424,260,0.31103677321224804,0.08910164543979263,0.004018957913281815,0.01067317518847355,0.09575586271498436,0.02594807113227943,0.7542291696288923,-0.15765727645087532,0.6869079299931854,0.8912528233719306
FA Women's Super League 2018/2019,women_club,GLM_LOC,recal,2424,260,0.30831106602054703,0.08789055583794406,0.0028078683114332453,0.01067317518847355,0.09575586271498436,0.022282855181610405,0.7542291696288923,0.21212733141489204,0.7745375687202853,1.17940272213463
FA Women's Super League 2018/2019,women_club,GLM_GEO,none,2424,260,0.3068937856812592,0.08704248949164663,0.004385244275804098,0.013098617499141832,0.09575586271498436,0.02686381310931874,0.7680061851272572,-0.1533139838596326,0.656212017784764,0.89913715803843
FA Women's Super League 2018/2019,women_club,GLM_GEO,recal,2424,260,0.2999173192335197,0.0862967696933173,0.003639524477474773,0.013098617499141832,0.09575586271498436,0.026012376362415938,0.7680061851272572,0.2641095734672973,1.0133548597547763,1.239798326049679
