group,model,n,goals,logloss,brier,MCB,DSC,UNC,ICI,auc,cal_int,cal_slope,obs_exp,design,split
men_club,GLM_LOC,38613,3751,0.2654266393128949,0.07554418080365496,0.0003940961863932446,0.012556514777642816,0.08770659939490454,0.00860358825426321,0.7889789999740149,0.06757270772635744,1.055583149370717,1.0548762550715705,loco,
men_club,GLM_GEO,38613,3751,0.25038772771998064,0.07129120410419677,0.00030137133032927255,0.016716766621037035,0.08770659939490454,0.0060660435638367404,0.8187428220812468,-0.025835962485289694,1.026459679929968,0.9810335789837569,loco,
men_club,GBM_LOC,38613,3751,0.26412860401744886,0.07521887089844805,0.00037166214580360013,0.01285939064226009,0.08770659939490454,0.0077980177644013365,0.7916875045624917,0.0700200611483508,1.047290500093412,1.0566969722914363,loco,
men_club,GBM_GEO,38613,3751,0.24884015502401835,0.0708407874641425,0.00030143858701275894,0.01716725051777479,0.08770659939490454,0.006153829364933296,0.8212257505049311,-0.020184120733517007,1.0110104307896406,0.9853550672277642,loco,
men_club,statsbomb_xg,38613,3751,0.2497462775367109,0.07095541337230339,0.0003896808561875964,0.01714086687878874,0.08770659939490454,0.00965863647156017,0.8200682177866371,0.043972078463209024,1.0454523716534745,1.0330678040902734,loco,
men_intl,GLM_LOC,7184,654,0.26167632607385743,0.07338380180528872,0.0009557607419707626,0.010320106887337033,0.082748147950655,0.011463129784371551,0.7722973479260622,-0.10977329532715772,0.956925682591112,0.9169979051162247,loco,
men_intl,GLM_GEO,7184,654,0.24712698281408624,0.06955102864307006,0.0008511565004832716,0.014048275808068209,0.082748147950655,0.009857657455791891,0.804007146503318,-0.08397912207168838,0.9642491129224109,0.93884761864408,loco,
men_intl,GBM_LOC,7184,654,0.2594465341641481,0.0730663268964519,0.0009630257581871443,0.010644846812390238,0.082748147950655,0.011686732384809011,0.7775759725754107,-0.10421929760760587,0.9755443182275114,0.9209433056205438,loco,
men_intl,GBM_GEO,7184,654,0.24537966649075146,0.06924808037310347,0.0009414577855712536,0.014441525363122779,0.082748147950655,0.00992735554471362,0.8082123907067358,-0.07751857496167762,0.9735533020115883,0.943689862709494,loco,
men_intl,statsbomb_xg,7184,654,0.24670445312295744,0.06886649855933274,0.0008148707175529846,0.014696520108875233,0.082748147950655,0.011713351204443074,0.7999530513133923,-0.04008950168372639,1.0178725264230246,0.9699815822294949,loco,
women_club,GLM_LOC,27452,2964,0.29319146382024697,0.08427257360936993,0.000499394987427973,0.012539516400086229,0.09631269502202819,0.009251281282080892,0.7707117198828499,-0.030860795191455,0.9316945415992499,0.9766257275391506,loco,
women_club,GLM_GEO,27452,2964,0.27833058016506884,0.08015051681271826,0.00038610751499698615,0.016548285724306916,0.09631269502202819,0.0076555523389434926,0.8013467776885734,0.05139072455941818,0.9345757255661471,1.0379209996651089,loco,
women_club,GBM_LOC,27452,2964,0.28893607761276335,0.08358483723247133,0.0003927981600593128,0.013120655949616172,0.09631269502202819,0.00678021728932986,0.7791232663573466,-0.033187829259147004,0.9682808280448363,0.9749044031532167,loco,
