group,term,n,coef,se,OR,OR_lo,OR_hi
all,occ10,77770,-0.1693110253101981,0.007458362402220882,0.8442462805856797,0.8319947510606206,0.8566782198735553
all,n_opp_tri_c,77770,-0.12319171095807872,0.023631661130419274,0.8840941557755504,0.8440792289161752,0.9260060542896092
all,gk_line_off,77770,-0.16754139070217478,0.018823950613114992,0.8457416107252497,0.8151071875273165,0.8775273768373792
all,gk_dist_goal,77770,0.17708967859240918,0.005956734055234796,1.1937381410833097,1.1798823078329361,1.207756688965293
all,near_opp,77770,0.15742308139829475,0.010468184832687608,1.1704907220093717,1.1467201409080983,1.194754048032213
men_club,occ10,38613,-0.16244391954384446,0.011093839709528893,0.8500637608521603,0.8317798755482672,0.8687495559300612
men_club,n_opp_tri_c,38613,-0.13950587890676022,0.03662046988779522,0.8697879097873451,0.8095468105943018,0.9345117516513428
men_club,gk_line_off,38613,-0.1528931221841887,0.028145061822871187,0.8582214417430695,0.8121612054059235,0.9068939000840641
men_club,gk_dist_goal,38613,0.18029762595267393,0.008698430364140445,1.1975737391108079,1.1773298268199632,1.2181657407607291
men_club,near_opp,38613,0.17196039030860805,0.014891242494451066,1.1876307905931371,1.1534691935440144,1.2228041309289281
men_intl,occ10,7184,-0.17365276388940745,0.024348693703531606,0.8405887297493052,0.8014158311411236,0.8816763846247567
men_intl,n_opp_tri_c,7184,-0.10796319615467283,0.08000356010542982,0.8976606331855914,0.7673845052553392,1.0500532742748527
men_intl,gk_line_off,7184,-0.16977311396793276,0.06177707243090623,0.8438562540754397,0.747624859905992,0.9524741828833425
men_intl,gk_dist_goal,7184,0.16970643144451758,0.020866083524130597,1.184956934158625,1.1374735959692321,1.234422443550583
men_intl,near_opp,7184,0.1924573148552083,0.03368843571758089,1.212224758613737,1.1347691000444535,1.2949672892384598
women_club,occ10,27452,-0.16738508610649977,0.01182862508739211,0.8458738143575081,0.8264889220456575,0.8657133698111368
women_club,n_opp_tri_c,27452,-0.1171827575232771,0.03612470597962187,0.8894226296320714,0.8286264071930071,0.9546794637904523
women_club,gk_line_off,27452,-0.16082498248502208,0.02995569463008054,0.8514410751687367,0.8028903979351572,0.90292760549746
women_club,gk_dist_goal,27452,0.16343212358299672,0.009457300595078193,1.1775454249104609,1.1559195276015493,1.199575917369163
women_club,near_opp,27452,0.12655112039788857,0.017359521822490648,1.1349074666144325,1.0969428494823723,1.174186019248843
women_intl,occ10,4521,-0.2509025113631112,0.03187761347006177,0.7780982235967254,0.730971004403666,0.8282638325145353
women_intl,n_opp_tri_c,4521,-0.0195293855087318,0.0912943157705724,0.9806600775699857,0.8199901455546911,1.1728118843294417
women_intl,gk_line_off,4521,-0.36338919280581083,0.07807791051528198,0.6953157689371242,0.5966532915854654,0.810293055197823
women_intl,gk_dist_goal,4521,0.23755717387784397,0.028325670893895587,1.2681474996282973,1.199662034353632,1.3405426151374258
women_intl,near_opp,4521,0.1733661518348321,0.050127220975235226,1.1893014902934609,1.0780119999224096,1.3120800463409048
