scope,model,score,n,gain,gain_lo,gain_hi,rel_gain,rel_lo,rel_hi,penalty_LOC,penalty_GEO,penalty_sub_LOC,penalty_sub_GEO
all,GLM,logloss,77770,0.015261280421163148,0.014053485596681473,0.01650902562879364,0.055517515048612534,0.05116696541708793,0.05998653184023582,0.0003056439116598253,0.0002594873585415325,0.00033308008407756384,0.000304031633546753
all,GLM,brier,77770,0.00427849757138718,0.0038975697633082903,0.0046571181674745525,0.05455785033545878,0.04987060965355932,0.05927593502030741,5.696585846552693e-05,4.464711224105855e-05,6.468410201722341e-05,5.4390402912884994e-05
all,GBM,logloss,77770,0.015101093363412199,0.01383272281887013,0.01635365520788303,0.05542589645482565,0.05081704488167999,0.05989660723600762,3.534304808161526e-05,-5.314423500929477e-05,0.00029448686694477644,3.120703209458231e-05
all,GBM,brier,77770,0.004351316556049312,0.003940776230769821,0.0047713206109029445,0.0558209505482016,0.05063606951272354,0.06093367690274788,-1.955205807613325e-05,-1.230617175408677e-05,4.377140882010078e-05,2.6268324941486343e-06
men_club,GLM,logloss,38613,0.01503750056904174,0.013186648392754421,0.016864548332402793,0.05665407439121048,0.05005519479981569,0.06296453085337095,0.0002984717837709039,0.00016528690415212877,0.00031002139582392285,0.00017788054640904827
men_club,GLM,brier,38613,0.004250682776838308,0.0036620753186510815,0.004825417928561826,0.056267507723541985,0.04893840746333638,0.06326790920741025,9.159456463679605e-05,5.080866703588427e-05,9.168713473338419e-05,3.428400268219722e-05
men_club,GBM,logloss,38613,0.015401923555851044,0.013537702807102243,0.01729045885038361,0.05831221352623195,0.05141962179006244,0.0650530680541087,9.924528459093196e-05,1.808586038326565e-05,0.00025200041292744446,0.0001371718993760096
men_club,GBM,brier,38613,0.004387554229471402,0.0037742120876115425,0.004992564574814194,0.058330498411694826,0.050428417243127355,0.0661035058745111,-7.004608101879306e-07,5.110571418498466e-06,2.9623468906919692e-05,2.4665532599513207e-05
men_intl,GLM,logloss,7184,0.014480559658403697,0.010651932776215584,0.018190062790487547,0.05533767565322893,0.041110333196524115,0.069000971023235,-0.00014792238216326803,-0.00015656956161766433,-0.00016379623850898417,-0.00024423747779239724
men_intl,GLM,brier,7184,0.0038346124605591198,0.002677326648819427,0.004890558737657237,0.052254208234313114,0.03716981270848358,0.06558053583598528,-9.11952298401908e-06,-4.1970192181994825e-05,3.637892055412262e-05,-3.103672712427563e-05
men_intl,GBM,logloss,7184,0.014032016603670094,0.010152382441997147,0.01776980633657552,0.05408442494279858,0.039690684788509546,0.0678976784288133,-0.0002647419982234611,-0.001303662576472242,-0.0001329396884674483,-0.0010469107557787571
men_intl,GBM,brier,7184,0.0037506930066141114,0.002533172847647253,0.004898147360758809,0.05133271598460829,0.035289129583823235,0.0666688067737205,-3.938231731025199e-05,-0.0002922435005364016,5.125962455626576e-05,-0.00031903023809838615
women_club,GLM,logloss,27452,0.014802922018580689,0.01238247604078299,0.017088562153670474,0.05048892565186081,0.04222785002416992,0.058258480103949205,0.0005074790639583715,0.000599708054521364,0.0005928104058345318,0.0006895709156782281
women_club,GLM,brier,27452,0.004122978347026629,0.0034036095642965727,0.004788868406098562,0.048924319863992045,0.040681257079416534,0.056815291570728114,3.50912656798541e-05,7.501097651507749e-05,5.507100439054724e-05,0.00011847648938809185
women_club,GBM,logloss,27452,0.013770228023101905,0.011381159720075935,0.016082340153668013,0.04765838913878031,0.03926871791082616,0.05565876071379864,8.755106486335595e-05,0.00038300622736942014,0.0006741255203754903,0.00037828278763518686
women_club,GBM,brier,27452,0.0041092308646268755,0.0033605425224384295,0.004878071830956496,0.049162395964210924,0.04035197155904427,0.05823187311758199,-9.193510255356419e-06,8.590543285787178e-05,0.0001067542100675195,0.00010491762506958935
women_intl,GLM,logloss,4521,0.021196331130589968,0.016693691424295037,0.02574094984606318,0.079803925966979,0.06180874479816572,0.09739330762287506,-0.00013793515755156083,-0.0003406947883898004,-0.00025753972611392006,-8.835658799005719e-05
women_intl,GLM,brier,4521,0.006165734254698629,0.004820764392369722,0.00754775993326011,0.08169846660687315,0.0637759486353396,0.10042660753663847,-9.54851533424561e-07,-5.4712808654336365e-05,-6.259413788316237e-05,-2.7276111491600363e-05
women_intl,GBM,logloss,4521,0.02231171193088552,0.017784565497682037,0.026966331061433913,0.08445818638750759,0.06688539149188027,0.10237326788057882,-0.0003506026635690107,-0.001322749720862687,-0.0009686581210954226,-0.0012681397658158844
women_intl,GBM,brier,4521,0.006466196161495796,0.005016873909074734,0.0079568465983843,0.08639605626746115,0.06802042798305982,0.10602914634677398,-0.00021194732409443584,-0.00031258219563327916,-0.00022973109014597093,-0.0002955998363429607
